timestamp,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11
2023-01-01 00:00:00,50.7451,,107.3947,,51.2402,,197.0148,,73.2979,,43.7306
2023-01-01 01:00:00,50.5711,,94.7684,,49.9087,,201.9429,,74.0998,,48.2869
2023-01-01 02:00:00,52.4755,,101.0926,,53.717,,203.4386,,75.6723,,56.4986
2023-01-01 03:00:00,54.4119,41.1013,106.2644,,55.5596,,208.0018,,76.2139,,46.498
2023-01-01 04:00:00,52.2548,45.0555,102.3924,,52.3654,,208.8805,,77.0501,,44.9502
2023-01-01 05:00:00,52.5566,47.2819,100.6977,-8.6122,,,,,,,44.1294
2023-01-01 06:00:00,55.3808,41.0639,96.1201,4.3188,56.2721,50.7345,206.8043,,,,52.3298
2023-01-01 07:00:00,54.0629,44.3615,94.4659,-1.3495,54.0586,47.9385,210.8495,,77.6448,,48.2431
2023-01-01 08:00:00,51.9099,47.4777,103.0722,-7.8558,52.3503,49.7101,207.9839,,75.2885,54.3849,56.8248
2023-01-01 09:00:00,52.9532,46.607,106.0156,-11.4663,53.6292,53.566,203.7547,,71.4929,62.2283,53.5746
2023-01-01 10:00:00,50.8249,47.7761,98.2346,-4.7255,51.2516,52.0871,202.4116,7.0089,74.1719,55.0841,20.8461
2023-01-01 11:00:00,50.0999,45.0013,95.4328,-4.6855,51.8861,50.3159,204.5619,8.5993,81.7022,52.29,32.4847
2023-01-01 12:00:00,50.3869,45.8643,90.1553,-1.0479,50.3319,52.4563,199.2019,14.136,72.0887,53.4285,44.9924
2023-01-01 13:00:00,46.3796,42.5229,96.0639,-4.0007,46.6601,48.1159,203.5373,17.4327,81.2889,58.768,59.8
2023-01-01 14:00:00,45.9406,39.5434,99.5314,-4.5807,45.3583,55.3962,196.1469,15.4925,72.3143,49.3136,43.4832
2023-01-01 15:00:00,47.0652,40.0251,106.3815,8.3637,46.2401,53.8793,196.4931,37.4199,75.3407,59.3032,53.7459
2023-01-01 16:00:00,45.9147,41.1961,102.6765,-1.1243,44.9785,52.4973,195.6673,13.1443,76.6924,52.7666,55.985
2023-01-01 17:00:00,47.6076,39.0982,101.2033,9.394,47.0703,45.3258,193.2146,40.7307,83.316,46.7187,55.4027
2023-01-01 18:00:00,45.674,39.6592,98.3815,2.6192,45.0885,48.4997,190.0413,19.9603,78.1958,46.1197,44.5258
2023-01-01 19:00:00,45.0218,37.9678,97.6483,4.9688,43.0668,46.8811,195.292,31.7743,,63.1139,38.5191
2023-01-01 20:00:00,49.6404,39.7035,105.6026,-3.7676,48.1031,41.8312,194.316,30.2124,75.5948,47.0326,36.8778
2023-01-01 21:00:00,47.582,41.4401,100.782,-8.9125,47.7527,,197.4361,13.0841,80.1014,57.1517,79.7094
2023-01-01 22:00:00,48.6453,37.4304,91.5676,-11.3804,49.2725,51.9765,198.7205,18.6017,77.1271,46.721,54.5543
2023-01-01 23:00:00,47.1324,38.8417,97.2828,0.9075,47.3045,54.8194,201.5224,17.9807,78.1028,60.6019,68.4058
2023-01-02 00:00:00,49.2314,42.3038,96.5431,-2.7412,49.2327,44.3387,206.2871,29.3521,77.8341,54.0774,41.6689
2023-01-02 01:00:00,50.9928,40.8363,97.7899,-10.9662,51.9586,47.44,204.2341,25.0492,81.1826,52.9357,62.4832
2023-01-02 02:00:00,49.8255,40.141,102.2256,-8.787,50.504,53.8307,206.4063,16.6884,81.4166,53.0218,45.2319
2023-01-02 03:00:00,52.7389,,99.5432,5.2665,54.0743,47.8694,205.7527,26.7295,76.5625,59.9061,49.7105
2023-01-02 04:00:00,51.7531,43.2925,99.6645,7.7137,51.2442,47.5702,210.0439,28.6708,77.4484,49.0091,47.1364
2023-01-02 05:00:00,52.5182,43.0746,105.2249,-1.3134,51.9249,42.7684,212.1271,46.6126,77.2429,54.6253,41.2056
2023-01-02 06:00:00,52.1574,41.8807,97.1842,2.7462,52.2004,53.0267,210.6819,27.2182,80.0549,58.7376,41.3576
2023-01-02 07:00:00,55.7382,43.441,107.4258,-4.0432,56.8684,50.6309,212.273,25.3156,82.3029,56.0412,49.6089
2023-01-02 08:00:00,52.6418,46.1643,97.2828,-7.967,52.9283,47.8033,210.3447,28.0327,80.2444,49.606,44.1292
2023-01-02 09:00:00,50.6008,40.4454,100.3238,2.063,48.8442,52.5939,206.8774,12.9279,73.1475,57.7212,51.2672
2023-01-02 10:00:00,52.8018,47.8796,98.8412,-11.2548,55.0839,51.6129,208.4973,3.4297,82.0571,56.3806,41.6217
2023-01-02 11:00:00,49.0152,44.9975,100.4587,0.3574,48.5442,52.1207,205.5751,20.7023,75.7827,53.8034,57.0746
2023-01-02 12:00:00,50.3853,43.1139,101.7424,-9.1396,50.6351,50.7512,204.1992,38.4216,77.7289,58.0001,45.4004
2023-01-02 13:00:00,46.358,47.4744,101.6983,4.6406,46.8742,58.421,,39.6884,80.5081,55.0324,
2023-01-02 14:00:00,46.5837,42.499,96.9495,-7.3963,43.5555,51.2981,198.7015,2.3635,79.6925,,49.4938
2023-01-02 15:00:00,48.252,46.5227,95.4693,0.9608,47.3907,55.3354,198.6913,34.2992,82.5868,57.0444,48.9782
2023-01-02 16:00:00,48.5896,36.9204,109.9727,-6.4057,47.9204,53.4934,196.6594,-1.9215,78.1538,60.4783,66.0354
2023-01-02 17:00:00,47.4413,39.936,98.0231,-5.725,46.5932,50.5856,199.7799,32.3666,77.0967,48.3218,45.0472
2023-01-02 18:00:00,46.9105,41.2253,102.7548,-21.3124,46.1191,50.0174,197.6605,29.113,79.0651,48.7684,45.9309
2023-01-02 19:00:00,46.7366,38.628,93.5264,10.8857,47.531,50.8657,197.4243,4.3932,82.9276,52.1467,42.9903
2023-01-02 20:00:00,,42.7158,98.8375,4.2881,45.0,48.4212,196.7717,36.7109,81.875,55.9233,52.0443
2023-01-02 21:00:00,46.8889,45.6856,99.4462,-13.1789,47.2247,46.2898,194.3334,46.0407,80.23,54.6902,42.6482
2023-01-02 22:00:00,47.901,39.6836,101.8453,-6.0032,47.5284,46.3953,198.4091,24.6858,83.922,53.6834,57.7667
2023-01-02 23:00:00,50.9032,39.7439,89.0632,-6.407,49.6845,49.8732,200.6356,27.1166,83.3474,56.3537,49.5342
2023-01-03 00:00:00,50.6114,40.0669,100.6166,6.5769,,45.5682,203.4217,41.9868,82.2401,54.6094,58.3889
2023-01-03 01:00:00,48.2299,38.9319,95.352,-10.4512,46.3465,48.0022,205.941,10.3514,76.2957,48.7745,57.2618
2023-01-03 02:00:00,52.0861,38.7158,101.2474,-2.1552,52.8631,50.4848,209.2094,14.2802,82.1276,57.9911,44.8752
2023-01-03 03:00:00,51.6457,41.2553,95.8037,5.6066,52.0066,49.1983,210.0552,14.4332,79.1123,47.4,42.6303
2023-01-03 04:00:00,51.6867,37.5155,96.5261,0.6702,51.8139,46.7302,213.0481,26.1337,78.4695,,46.7164
2023-01-03 05:00:00,53.9213,48.5335,98.8525,-1.9232,54.337,54.9309,210.8494,23.7946,77.5352,57.4142,50.0887
2023-01-03 06:00:00,54.6545,43.6111,95.7367,12.6399,57.5971,52.1725,212.1992,18.0699,78.9897,60.7335,53.3402
2023-01-03 07:00:00,54.4047,43.0689,98.0429,0.3626,54.4627,52.1563,212.0341,21.2558,77.5433,50.6295,54.4513
